      table_name      |           column_name           |          data_type          | is_nullable |   column_default   
 payments             | updated_at                      | timestamp without time zone | YES         | 
 payments             | order_id                        | uuid                        | NO          | 
 payments             | user_id                         | uuid                        | NO          | 
 product_images       | id                              | uuid                        | NO          | 
 product_images       | created_at                      | timestamp without time zone | YES         | 
 product_images       | display_order                   | integer                     | YES         | 
 product_images       | image_url                       | character varying           | NO          | 
 product_images       | is_primary                      | boolean                     | YES         | 
 product_images       | product_id                      | uuid                        | NO          | 
 products             | id                              | uuid                        | NO          | 
 products             | brand                           | character varying           | YES         | 
 products             | category                        | character varying           | YES         | 
 products             | compatibility                   | text                        | YES         | 
 products             | created_at                      | timestamp without time zone | YES         | 
 products             | description                     | text                        | YES         | 
 products             | image_url                       | text                        | YES         | 
 products             | model                           | character varying           | YES         | 
 products             | name                            | character varying           | NO          | 
 products             | price                           | numeric                     | NO          | 
 products             | stock                           | integer                     | NO          | 
 products             | updated_at                      | timestamp without time zone | YES         | 
 products             | year                            | integer                     | YES         | 
 products             | brand_id                        | bigint                      | YES         | 
 products             | category_id                     | bigint                      | YES         | 
 purchase_order_items | id                              | uuid                        | NO          | 
 purchase_order_items | notes                           | text                        | YES         | 
 purchase_order_items | quantity                        | integer                     | NO          | 
 purchase_order_items | received_quantity               | integer                     | YES         | 
 purchase_order_items | subtotal                        | numeric                     | NO          | 
 purchase_order_items | unit_price                      | numeric                     | NO          | 
 purchase_order_items | product_id                      | uuid                        | NO          | 
 purchase_order_items | purchase_order_id               | uuid                        | NO          | 
 purchase_orders      | id                              | uuid                        | NO          | 
 purchase_orders      | actual_delivery_date            | date                        | YES         | 
 purchase_orders      | approved_by                     | character varying           | YES         | 
 purchase_orders      | created_at                      | timestamp without time zone | NO          | 
 purchase_orders      | created_by                      | character varying           | YES         | 
 purchase_orders      | discount_amount                 | numeric                     | YES         | 
 purchase_orders      | expected_delivery_date          | date                        | YES         | 
 purchase_orders      | grand_total                     | numeric                     | NO          | 
 purchase_orders      | notes                           | text                        | YES         | 
 purchase_orders      | order_date                      | date                        | NO          | 
 purchase_orders      | po_number                       | character varying           | NO          | 
 purchase_orders      | received_by                     | character varying           | YES         | 
 purchase_orders      | shipping_cost                   | numeric                     | YES         | 
 purchase_orders      | status                          | character varying           | NO          | 
 purchase_orders      | tax_amount                      | numeric                     | YES         | 
 purchase_orders      | total_amount                    | numeric                     | NO          | 
 purchase_orders      | updated_at                      | timestamp without time zone | YES         | 
 purchase_orders      | supplier_id                     | uuid                        | NO          | 
 reclamations         | id                              | uuid                        | NO          | 
 reclamations         | attachment_url                  | character varying           | YES         | 
 reclamations         | created_at                      | timestamp without time zone | YES         | 
 reclamations         | description                     | text                        | NO          | 
 reclamations         | resolved_at                     | timestamp without time zone | YES         | 
 reclamations         | response                        | text                        | YES         | 
 reclamations         | status                          | character varying           | NO          | 
 reclamations         | subject                         | character varying           | NO          | 
 reclamations         | updated_at                      | timestamp without time zone | YES         | 
 reclamations         | user_id                         | uuid                        | NO          | 
 recommendations      | id                              | uuid                        | NO          | 
 recommendations      | ai_response                     | text                        | YES         | 
 recommendations      | confidence_score                | double precision            | YES         | 
 recommendations      | created_at                      | timestamp without time zone | YES         | 
 recommendations      | image_url                       | text                        | YES         | 
 recommendations      | suggested_products              | text                        | YES         | 
 recommendations      | symptoms                        | text                        | YES         | 
 recommendations      | user_id                         | uuid                        | NO          | 
 reorder_settings     | id                              | uuid                        | NO          | 
 reorder_settings     | auto_reorder                    | boolean                     | NO          | 
 reorder_settings     | created_at                      | timestamp without time zone | NO          | 
 reorder_settings     | is_enabled                      | boolean                     | NO          | 
 reorder_settings     | last_alert_sent                 | timestamp without time zone | YES         | 
 reorder_settings     | last_reorder_date               | timestamp without time zone | YES         | 
 reorder_settings     | lead_time_days                  | integer                     | YES         | 
 reorder_settings     | maximum_stock                   | integer                     | YES         | 
 reorder_settings     | minimum_stock                   | integer                     | YES         | 
 reorder_settings     | notes                           | text                        | YES         | 
 reorder_settings     | reorder_point                   | integer                     | NO          | 
 reorder_settings     | reorder_quantity                | integer                     | NO          | 
 reorder_settings     | updated_at                      | timestamp without time zone | YES         | 
 reorder_settings     | preferred_supplier_id           | uuid                        | YES         | 
 reorder_settings     | product_id                      | uuid                        | NO          | 
 reports              | id                              | uuid                        | NO          | 
 reports              | created_at                      | timestamp without time zone | YES         | 
 reports              | data                            | text                        | YES         | 
 reports              | description                     | text                        | YES         | 
 reports              | file_url                        | character varying           | YES         | 
 reports              | generated_by                    | uuid                        | YES         | 
 reports              | report_type                     | character varying           | NO          | 
 reports              | title                           | character varying           | YES         | 
 roles                | id                              | integer                     | NO          | 
 roles                | name                            | character varying           | NO          | 
 stock_alerts         | id                              | uuid                        | NO          | uuid_generate_v4()
 stock_alerts         | product_id                      | uuid                        | NO          | 
 stock_alerts         | threshold                       | integer                     | NO          | 5
 stock_alerts         | alert_date                      | timestamp without time zone | YES         | CURRENT_TIMESTAMP
 stock_movements      | id                              | uuid                        | NO          | 
 stock_movements      | movement_date                   | timestamp without time zone | NO          | 
 stock_movements      | movement_type                   | character varying           | NO          | 
 stock_movements      | new_stock                       | integer                     | NO          | 
 stock_movements      | notes                           | text                        | YES         | 
 stock_movements      | performed_by                    | character varying           | YES         | 
 stock_movements      | previous_stock                  | integer                     | NO          | 
 stock_movements      | quantity                        | integer                     | NO          | 
 stock_movements      | reference_id                    | uuid                        | YES         | 
 stock_movements      | reference_type                  | character varying           | YES         | 
 stock_movements      | product_id                      | uuid                        | NO          | 
 super_admins         | id                              | uuid                        | NO          | 
 super_admins         | created_at                      | timestamp without time zone | YES         | 
 super_admins         | email                           | character varying           | NO          | 
 super_admins         | full_name                       | character varying           | YES         | 
 super_admins         | is_active                       | boolean                     | NO          | 
 super_admins         | password                        | character varying           | NO          | 
 super_admins         | updated_at                      | timestamp without time zone | YES         | 
 super_admins         | username                        | character varying           | NO          | 
 supplier_products    | supplier_id                     | uuid                        | NO          | 
 supplier_products    | product_id                      | uuid                        | NO          | 
 suppliers            | id                              | uuid                        | NO          | 
 suppliers            | address                         | character varying           | YES         | 
 suppliers            | city                            | character varying           | YES         | 
 suppliers            | company_name                    | character varying           | YES         | 
 suppliers            | contact_person                  | character varying           | YES         | 
 suppliers            | country                         | character varying           | YES         | 
 suppliers            | created_at                      | timestamp without time zone | NO          | 
 suppliers            | email                           | character varying           | YES         | 
 suppliers            | is_active                       | boolean                     | NO          | 
 suppliers            | name                            | character varying           | NO          | 
 suppliers            | notes                           | text                        | YES         | 
 suppliers            | payment_terms                   | character varying           | YES         | 
 suppliers            | phone                           | character varying           | YES         | 
 suppliers            | postal_code                     | character varying           | YES         | 
 suppliers            | rating                          | double precision            | YES         | 
 suppliers            | tax_id                          | character varying           | YES         | 
 suppliers            | updated_at                      | timestamp without time zone | YES         | 
 suppliers            | website                         | character varying           | YES         | 
 users                | id                              | uuid                        | NO          | 
 users                | address                         | text                        | YES         | 
 users                | created_at                      | timestamp without time zone | YES         | 
 users                | email                           | character varying           | NO          | 
 users                | full_name                       | character varying           | YES         | 
 users                | password                        | character varying           | NO          | 
 users                | phone                           | character varying           | YES         | 
 users                | updated_at                      | timestamp without time zone | YES         | 
 users                | username                        | character varying           | NO          | 
 users                | role_id                         | integer                     | NO          | 
 users                | email_verification_token        | character varying           | YES         | 
 users                | email_verification_token_expiry | timestamp without time zone | YES         | 
 users                | password_reset_token            | character varying           | YES         | 
 users                | password_reset_token_expiry     | timestamp without time zone | YES         | 
 users                | is_email_verified               | boolean                     | NO          | true
 users                | is_active                       | boolean                     | NO          | true
 vehicles             | id                              | uuid                        | NO          | 
 vehicles             | brand                           | character varying           | NO          | 
 vehicles             | created_at                      | timestamp without time zone | YES         | 
 vehicles             | model                           | character varying           | NO          | 
 vehicles             | year                            | integer                     | NO          | 
 vehicles             | user_id                         | uuid                        | NO          | 
(244 rows)

